aggregator,communication_bytes,malicious_peer_ids,mean_local_loss,parameter_consensus_distance,round,run_id,scenario,seed,update_attack
peer_mean,6760,,0.72135988,0.00173946,0,noniid_scarce_synthetic__peer_mean__seed-211,noniid_scarce_synthetic,211,
peer_mean,6760,,0.72190935,0.00337044,1,noniid_scarce_synthetic__peer_mean__seed-211,noniid_scarce_synthetic,211,
peer_mean,6760,,0.70029678,0.00490315,2,noniid_scarce_synthetic__peer_mean__seed-211,noniid_scarce_synthetic,211,
coordinate_median,6760,,0.72135988,0.00175229,0,noniid_scarce_synthetic__coordinate_median__seed-211,noniid_scarce_synthetic,211,
coordinate_median,6760,,0.72149385,0.00345540,1,noniid_scarce_synthetic__coordinate_median__seed-211,noniid_scarce_synthetic,211,
coordinate_median,6760,,0.69930090,0.00466883,2,noniid_scarce_synthetic__coordinate_median__seed-211,noniid_scarce_synthetic,211,
trimmed_mean,6760,,0.72135988,0.00175229,0,noniid_scarce_synthetic__trimmed_mean__seed-211,noniid_scarce_synthetic,211,
trimmed_mean,6760,,0.72149385,0.00345540,1,noniid_scarce_synthetic__trimmed_mean__seed-211,noniid_scarce_synthetic,211,
trimmed_mean,6760,,0.69930090,0.00466883,2,noniid_scarce_synthetic__trimmed_mean__seed-211,noniid_scarce_synthetic,211,
peer_mean,6760,0,0.72135988,0.00287453,0,noniid_sign_flip__peer_mean__seed-211,noniid_sign_flip,211,sign_flip
peer_mean,6760,0,0.74646777,0.00561383,1,noniid_sign_flip__peer_mean__seed-211,noniid_sign_flip,211,sign_flip
peer_mean,6760,0,0.74996712,0.00854325,2,noniid_sign_flip__peer_mean__seed-211,noniid_sign_flip,211,sign_flip
coordinate_median,6760,0,0.72135988,0.00242359,0,noniid_sign_flip__coordinate_median__seed-211,noniid_sign_flip,211,sign_flip
coordinate_median,6760,0,0.73162703,0.00463968,1,noniid_sign_flip__coordinate_median__seed-211,noniid_sign_flip,211,sign_flip
coordinate_median,6760,0,0.72028936,0.00662168,2,noniid_sign_flip__coordinate_median__seed-211,noniid_sign_flip,211,sign_flip
trimmed_mean,6760,0,0.72135988,0.00242359,0,noniid_sign_flip__trimmed_mean__seed-211,noniid_sign_flip,211,sign_flip
trimmed_mean,6760,0,0.73162703,0.00463968,1,noniid_sign_flip__trimmed_mean__seed-211,noniid_sign_flip,211,sign_flip
trimmed_mean,6760,0,0.72028936,0.00662168,2,noniid_sign_flip__trimmed_mean__seed-211,noniid_sign_flip,211,sign_flip
