aggregator,communication_bytes,malicious_peer_ids,mean_local_loss,parameter_consensus_distance,round,run_id,scenario,seed,update_attack
peer_mean,8112,,0.64558025,0.00000000,0,iid_real__peer_mean__seed-101,iid_real,101,
peer_mean,8112,,0.63252290,0.00000000,1,iid_real__peer_mean__seed-101,iid_real,101,
peer_mean,8112,,0.64561774,0.00000000,2,iid_real__peer_mean__seed-101,iid_real,101,
coordinate_median,8112,,0.64558025,0.00000000,0,iid_real__coordinate_median__seed-101,iid_real,101,
coordinate_median,8112,,0.63427305,0.00000000,1,iid_real__coordinate_median__seed-101,iid_real,101,
coordinate_median,8112,,0.64751928,0.00000000,2,iid_real__coordinate_median__seed-101,iid_real,101,
trimmed_mean,8112,,0.64558025,0.00000000,0,iid_real__trimmed_mean__seed-101,iid_real,101,
trimmed_mean,8112,,0.63427305,0.00000000,1,iid_real__trimmed_mean__seed-101,iid_real,101,
trimmed_mean,8112,,0.64751928,0.00000000,2,iid_real__trimmed_mean__seed-101,iid_real,101,
peer_mean,8112,,0.75475919,0.00000000,0,noniid_scarce_real__peer_mean__seed-101,noniid_scarce_real,101,
peer_mean,8112,,0.75375821,0.00000000,1,noniid_scarce_real__peer_mean__seed-101,noniid_scarce_real,101,
peer_mean,8112,,0.74818307,0.00000000,2,noniid_scarce_real__peer_mean__seed-101,noniid_scarce_real,101,
coordinate_median,8112,,0.75475919,0.00000000,0,noniid_scarce_real__coordinate_median__seed-101,noniid_scarce_real,101,
coordinate_median,8112,,0.75386094,0.00000000,1,noniid_scarce_real__coordinate_median__seed-101,noniid_scarce_real,101,
coordinate_median,8112,,0.74837976,0.00000000,2,noniid_scarce_real__coordinate_median__seed-101,noniid_scarce_real,101,
trimmed_mean,8112,,0.75475919,0.00000000,0,noniid_scarce_real__trimmed_mean__seed-101,noniid_scarce_real,101,
trimmed_mean,8112,,0.75386094,0.00000000,1,noniid_scarce_real__trimmed_mean__seed-101,noniid_scarce_real,101,
trimmed_mean,8112,,0.74837976,0.00000000,2,noniid_scarce_real__trimmed_mean__seed-101,noniid_scarce_real,101,
peer_mean,8112,,0.73612041,0.00000000,0,noniid_scarce_synthetic__peer_mean__seed-101,noniid_scarce_synthetic,101,
peer_mean,8112,,0.73503104,0.00000000,1,noniid_scarce_synthetic__peer_mean__seed-101,noniid_scarce_synthetic,101,
peer_mean,8112,,0.72938990,0.00000000,2,noniid_scarce_synthetic__peer_mean__seed-101,noniid_scarce_synthetic,101,
coordinate_median,8112,,0.73612041,0.00000000,0,noniid_scarce_synthetic__coordinate_median__seed-101,noniid_scarce_synthetic,101,
coordinate_median,8112,,0.73508706,0.00000000,1,noniid_scarce_synthetic__coordinate_median__seed-101,noniid_scarce_synthetic,101,
coordinate_median,8112,,0.72953944,0.00000000,2,noniid_scarce_synthetic__coordinate_median__seed-101,noniid_scarce_synthetic,101,
trimmed_mean,8112,,0.73612041,0.00000000,0,noniid_scarce_synthetic__trimmed_mean__seed-101,noniid_scarce_synthetic,101,
trimmed_mean,8112,,0.73508706,0.00000000,1,noniid_scarce_synthetic__trimmed_mean__seed-101,noniid_scarce_synthetic,101,
trimmed_mean,8112,,0.72953944,0.00000000,2,noniid_scarce_synthetic__trimmed_mean__seed-101,noniid_scarce_synthetic,101,
peer_mean,8112,2,0.73612041,0.00000000,0,noniid_sign_flip__peer_mean__seed-101,noniid_sign_flip,101,sign_flip
peer_mean,8112,2,0.75205182,0.00000000,1,noniid_sign_flip__peer_mean__seed-101,noniid_sign_flip,101,sign_flip
peer_mean,8112,2,0.77335533,0.00000000,2,noniid_sign_flip__peer_mean__seed-101,noniid_sign_flip,101,sign_flip
coordinate_median,8112,2,0.73612041,0.00000000,0,noniid_sign_flip__coordinate_median__seed-101,noniid_sign_flip,101,sign_flip
coordinate_median,8112,2,0.74019410,0.00000000,1,noniid_sign_flip__coordinate_median__seed-101,noniid_sign_flip,101,sign_flip
coordinate_median,8112,2,0.74108602,0.00000000,2,noniid_sign_flip__coordinate_median__seed-101,noniid_sign_flip,101,sign_flip
trimmed_mean,8112,2,0.73612041,0.00000000,0,noniid_sign_flip__trimmed_mean__seed-101,noniid_sign_flip,101,sign_flip
trimmed_mean,8112,2,0.74019410,0.00000000,1,noniid_sign_flip__trimmed_mean__seed-101,noniid_sign_flip,101,sign_flip
trimmed_mean,8112,2,0.74108602,0.00000000,2,noniid_sign_flip__trimmed_mean__seed-101,noniid_sign_flip,101,sign_flip
peer_mean,8112,0,0.78619447,0.00000000,0,noniid_synthetic_poison__peer_mean__seed-101,noniid_synthetic_poison,101,
peer_mean,8112,0,0.78548659,0.00000000,1,noniid_synthetic_poison__peer_mean__seed-101,noniid_synthetic_poison,101,
peer_mean,8112,0,0.78021696,0.00000000,2,noniid_synthetic_poison__peer_mean__seed-101,noniid_synthetic_poison,101,
coordinate_median,8112,0,0.78619447,0.00000000,0,noniid_synthetic_poison__coordinate_median__seed-101,noniid_synthetic_poison,101,
coordinate_median,8112,0,0.78553439,0.00000000,1,noniid_synthetic_poison__coordinate_median__seed-101,noniid_synthetic_poison,101,
coordinate_median,8112,0,0.78031642,0.00000000,2,noniid_synthetic_poison__coordinate_median__seed-101,noniid_synthetic_poison,101,
trimmed_mean,8112,0,0.78619447,0.00000000,0,noniid_synthetic_poison__trimmed_mean__seed-101,noniid_synthetic_poison,101,
trimmed_mean,8112,0,0.78553439,0.00000000,1,noniid_synthetic_poison__trimmed_mean__seed-101,noniid_synthetic_poison,101,
trimmed_mean,8112,0,0.78031642,0.00000000,2,noniid_synthetic_poison__trimmed_mean__seed-101,noniid_synthetic_poison,101,
